Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FGP;ThreeP;ThreePA;ThreePP;TwoP;TwoPA;TwoPP;eFGP;FT;FTA;FTP;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;NOM;APE;IMG;IMGT;;
167;Rudy Gobert;C;30;MIN;70;70;30.7;5.1;7.8;.659;0;0;.000;5.1;7.8;.663;.659;3.1;4.9;.644;3.3;8.3;11.6;1.2;0.8;1.4;1.7;3;13.4;ru;gober;https://www.basketball-reference.com/req/202106291/images/headshots/goberru01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/MIN-2023.png;;
92;Brandon Clarke;PF;26;MEM;56;8;19.5;4.1;6.2;.656;0;0.1;.167;4.1;6.1;.665;.658;1.8;2.4;.723;1.6;3.9;5.5;1.3;0.6;0.7;1;2.3;10;br;clark;https://www.basketball-reference.com/req/202106291/images/headshots/clarkbr01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/MEM-2023.png;;
70;Thomas Bryant;C;25;LAL;41;25;21.4;4.8;7.3;.654;0.5;1.2;.440;4.3;6.1;.697;.691;2;2.6;.741;1.6;5.2;6.8;0.7;0.3;0.6;0.7;1.9;12.1;th;bryan;https://www.basketball-reference.com/req/202106291/images/headshots/bryanth01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/LAL-2023.png;;
81;Clint Capela;C;28;ATL;65;63;26.6;5.4;8.2;.653;0;0;.000;5.4;8.2;.654;.653;1.2;2;.603;4;7.1;11;0.9;0.7;1.2;0.8;2.1;12;cl;capel;https://www.basketball-reference.com/req/202106291/images/headshots/capelcl01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/ATL-2023.png;;
386;Jakob Poeltl;C;27;TOR;26;25;27.2;5.8;8.8;.652;0;0;;5.8;8.8;.652;.652;1.6;2.8;.569;3.2;5.9;9.1;2.2;1.2;1.3;1.1;3;13.1;ja;poelt;https://www.basketball-reference.com/req/202106291/images/headshots/poeltja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOR-2023.png;;
138;Jalen Duren;C;19;DET;67;31;24.9;3.9;5.9;.648;0;0;.000;3.9;5.9;.652;.648;1.4;2.3;.611;3.4;5.5;8.9;1.1;0.7;0.9;1.4;2.7;9.1;ja;duren;https://www.basketball-reference.com/req/202106291/images/headshots/durenja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DET-2023.png;;
31;Charles Bassey;C;22;SAS;35;2;14.5;2.5;3.9;.644;0.1;0.2;.375;2.4;3.6;.661;.656;0.6;1.1;.595;2.1;3.4;5.5;1.3;0.5;0.9;1.2;2.1;5.7;ch;basse;https://www.basketball-reference.com/req/202106291/images/headshots/bassech01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/SAS-2023.png;;
8;Jarrett Allen;C;24;CLE;68;68;32.6;5.9;9.2;.644;0;0.1;.100;5.9;9.1;.653;.645;2.4;3.3;.733;3.3;6.5;9.8;1.7;0.8;1.2;1.4;2.3;14.3;ja;allen;https://www.basketball-reference.com/req/202106291/images/headshots/allenja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CLE-2023.png;;
144;Drew Eubanks;C;25;POR;78;28;20.3;2.7;4.3;.641;0.1;0.2;.389;2.7;4.1;.655;.651;1.1;1.6;.664;1.7;3.7;5.4;1.3;0.5;1.3;0.9;2.2;6.6;dr;euban;https://www.basketball-reference.com/req/202106291/images/headshots/eubandr01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/POR-2023.png;;
251;Damian Jones;C;27;TOT;41;1;11.6;1.3;2.1;.640;0.2;0.4;.588;1.1;1.7;.652;.698;0.5;0.7;.759;1;2;3;0.4;0.2;0.5;0.6;1.3;3.5;da;jones;https://www.basketball-reference.com/req/202106291/images/headshots/jonesda01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOT-2023.png;;
325;JaVale McGee;C;35;DAL;42;7;8.5;1.9;3;.640;0;0.1;.400;1.9;2.9;.650;.648;0.6;1;.585;0.7;1.8;2.5;0.3;0.1;0.6;0.9;1.3;4.4;ja;mcgee;https://www.basketball-reference.com/req/202106291/images/headshots/mcgeeja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DAL-2023.png;;
298;Robin Lopez;C;34;CLE;37;2;8.1;1.3;2;.640;0.1;0.1;.500;1.2;1.9;.648;.653;0.4;0.5;.778;0.6;0.8;1.4;0.5;0.1;0.2;0.7;1.2;3;ro;lopez;https://www.basketball-reference.com/req/202106291/images/headshots/lopezro01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CLE-2023.png;;
372;Onyeka Okongwu;C;22;ATL;80;18;23.1;4;6.2;.638;0.1;0.2;.308;3.9;6.1;.647;.642;1.9;2.5;.781;2.7;4.5;7.2;1;0.7;1.3;1;3.1;9.9;on;okong;https://www.basketball-reference.com/req/202106291/images/headshots/okongon01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/ATL-2023.png;;
522;Mark Williams;C;21;CHO;43;17;19.3;3.7;5.8;.637;0;0;;3.7;5.8;.637;.637;1.6;2.3;.691;2.2;4.9;7.1;0.4;0.7;1;0.9;2.2;9;ma;willi;https://www.basketball-reference.com/req/202106291/images/headshots/willima01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CHO-2023.png;;
66;Moses Brown;C;23;TOT;36;1;8.2;1.7;2.7;.635;0;0;;1.7;2.7;.635;.635;0.9;2;.458;1.6;2.3;3.9;0.1;0.1;0.4;0.4;1.1;4.3;mo;brown;https://www.basketball-reference.com/req/202106291/images/headshots/brownmo01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOT-2023.png;;
66;Moses Brown;C;23;LAC;34;1;8.5;1.8;2.8;.635;0;0;;1.8;2.8;.635;.635;1;2.1;.458;1.7;2.4;4.1;0.1;0.1;0.4;0.4;1.1;4.6;mo;brown;https://www.basketball-reference.com/req/202106291/images/headshots/brownmo01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/LAC-2023.png;;
539;Ivica Zubac;C;25;LAC;76;76;28.6;4.3;6.8;.634;0;0;.000;4.3;6.7;.637;.634;2.2;3.1;.697;3.1;6.8;9.9;1;0.4;1.3;1.5;2.9;10.8;iv;zubac;https://www.basketball-reference.com/req/202106291/images/headshots/zubaciv01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/LAC-2023.png;;
249;Nikola Jokić;C;27;DEN;69;69;33.7;9.4;14.8;.632;0.8;2.2;.383;8.5;12.7;.675;.660;4.9;6;.822;2.4;9.4;11.8;9.8;1.3;0.7;3.6;2.5;24.5;ni;jokić;https://www.basketball-reference.com/req/202106291/images/headshots/jokićni01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/DEN-2023.png;;
296;Kevon Looney;C;26;GSW;82;70;23.9;3;4.7;.630;0;0;.000;3;4.7;.632;.630;1.1;1.9;.606;3.3;5.9;9.3;2.5;0.6;0.6;0.5;2.7;7;ke;loone;https://www.basketball-reference.com/req/202106291/images/headshots/looneke01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/GSW-2023.png;;
386;Jakob Poeltl;C;27;TOT;72;71;26.5;5.4;8.6;.629;0;0;.000;5.4;8.6;.630;.629;1.7;2.8;.592;3.3;5.8;9.1;2.7;0.9;1.2;1.7;2.7;12.5;ja;poelt;https://www.basketball-reference.com/req/202106291/images/headshots/poeltja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOT-2023.png;;
412;Nick Richards;C;25;CHO;65;9;18.7;3;4.8;.629;0;0;1.000;3;4.8;.628;.631;2.1;2.8;.749;2.3;4.1;6.4;0.6;0.2;1.1;0.9;2.4;8.2;ni;richa;https://www.basketball-reference.com/req/202106291/images/headshots/richani01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/CHO-2023.png;;
530;James Wiseman;C;21;GSW;21;0;12.5;2.8;4.5;.628;0;0.1;.500;2.8;4.4;.630;.633;1.2;1.8;.684;0.9;2.6;3.5;0.7;0.1;0.3;0.7;1.9;6.9;ja;wisem;https://www.basketball-reference.com/req/202106291/images/headshots/wisemja01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/GSW-2023.png;;
538;Cody Zeller;C;30;MIA;15;2;14.5;2.5;3.9;.627;0;0.1;.000;2.5;3.8;.649;.627;1.6;2.3;.686;1.7;2.6;4.3;0.7;0.2;0.3;0.9;2.2;6.5;co;zelle;https://www.basketball-reference.com/req/202106291/images/headshots/zelleco01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/MIA-2023.png;;
70;Thomas Bryant;C;25;TOT;59;26;18.3;3.9;6.3;.623;0.4;1;.441;3.5;5.3;.658;.659;1.6;2.1;.738;1.5;4.3;5.7;0.5;0.3;0.5;0.6;1.7;9.8;th;bryan;https://www.basketball-reference.com/req/202106291/images/headshots/bryanth01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/TOT-2023.png;;
216;Richaun Holmes;C;29;SAC;42;1;8.3;1.3;2.1;.618;0.1;0.2;.625;1.2;1.9;.617;.646;0.4;0.5;.789;0.7;1.2;1.9;0.2;0.1;0.3;0.3;1.2;3.1;ri;holme;https://www.basketball-reference.com/req/202106291/images/headshots/holmeri01.jpg;https://cdn.ssref.net/req/202309221/tlogo/bbr/SAC-2023.png;;
